"Frame","Time (aligned)","Time [ smin]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
28.0,23.0,1620.0,383.283,379.572,3.7110000000000127,4.009965622084482,0.1860238659227988
29.0,24.0,1680.0,379.818,376.455,3.3629999999999995,3.6434884303533996,0.16902284636221004
30.0,25.0,1740.0,378.73,375.914,2.816000000000031,3.0588417392684324,0.14190085881308423
31.0,26.0,1800.0,377.59,374.3,3.2899999999999636,3.583002703078339,0.16621688993233677
32.0,27.0,1860.0,377.357,374.169,3.188000000000045,3.480883877620155,0.1614795578737761
33.0,28.0,1920.0,376.506,373.358,3.1479999999999677,3.4460302758070775,0.1598626857203355
34.0,29.0,1980.0,375.574,372.572,3.0020000000000095,3.2945902257265653,0.15283732285528556
35.0,30.0,2040.0,377.871,374.132,3.738999999999976,4.113824864718038,0.1908419366115108
36.0,31.0,2100.0,NA,371.392,-371.392,-409.6526889452986,-19.00394768064392
37.0,32.0,2160.0,NA,371.477,-371.477,-410.77262638394484,-19.05590201431233
38.0,33.0,2220.0,NA,370.805,-370.805,-411.05020299099,-19.06877890114844
39.0,34.0,2280.0,NA,370.178,-370.178,-411.3704412638862,-19.08363487926768
40.0,35.0,2340.0,NA,371.836,-371.836,-414.2291225349028,-19.216250216054327
41.0,36.0,2400.0,NA,368.975,-368.975,-412.0466881457556,-19.115006235318905
42.0,37.0,2460.0,NA,371.112,-371.112,-415.44008924412685,-19.27242743301425
43.0,38.0,2520.0,NA,370.262,-370.262,-415.48958776507175,-19.274723688666146
44.0,39.0,2580.0,NA,369.849,-369.849,-416.0224587833481,-19.29944378260213
45.0,40.0,2640.0,NA,366.783,-366.783,-413.558194851285,-19.185125619680274
46.0,41.0,2700.0,NA,366.216,-366.216,-413.8983376022209,-19.200904974282775
47.0,42.0,2760.0,NA,367.944,-367.944,-416.8318610354978,-19.336992268105913
48.0,43.0,2820.0,NA,365.665,-365.665,-415.22100943526567,-19.26226423541337
49.0,44.0,2880.0,NA,365.101,-365.101,-415.5465423683329,-19.277365834878673
50.0,45.0,2940.0,NA,364.588,-364.588,-415.9238014570948,-19.29486703083893
51.0,46.0,3000.0,NA,364.062,-364.062,-416.2800377736892,-19.311392972216087
52.0,47.0,3060.0,NA,365.783,-365.783,-419.2052475672484,-19.44709459305698
53.0,48.0,3120.0,NA,363.328,-363.328,-417.3392154033693,-19.360528634698305
54.0,49.0,3180.0,NA,362.921,-362.921,-417.8147658995286,-19.38258960730362
55.0,50.0,3240.0,NA,362.378,-362.378,-418.12789290614467,-19.397115691012356
56.0,51.0,3300.0,NA,364.378,-364.378,-421.37563022578354,-19.547779489318668
57.0,52.0,3360.0,NA,361.943,-361.943,-419.4901506929053,-19.460311359943034
58.0,53.0,3420.0,NA,361.635,-361.635,-420.0594674877095,-19.486722187637163
59.0,54.0,3480.0,NA,363.131,-363.131,-422.7239408381412,-19.610328143400423
60.0,55.0,3540.0,NA,362.872,-362.872,-423.3452435175869,-19.639150616516442
61.0,56.0,3600.0,NA,360.672,-360.672,-421.69253975688747,-19.562481045810586
62.0,57.0,3660.0,NA,360.77,-360.77,-422.7180304570142,-19.610053958519572
63.0,58.0,3720.0,NA,360.57,-360.57,-423.3908430950348,-19.641265998662014
64.0,59.0,3780.0,NA,360.36,-360.36,-424.04764853344034,-19.671735458584166
65.0,60.0,3840.0,NA,359.569,-359.569,-424.0150517161834,-19.670223279544643
66.0,61.0,3900.0,NA,359.373,-359.373,-424.67843884965976,-19.700998066862788
67.0,62.0,3960.0,NA,360.61,-360.61,-427.0346343892394,-19.810302894996155
68.0,63.0,4020.0,NA,360.798,-360.798,-428.1489639875812,-19.861997078770226
69.0,64.0,4080.0,NA,358.409,-358.409,-426.1966630758072,-19.771429079620145
70.0,65.0,4140.0,NA,359.921,-359.921,-428.8778844412984,-19.895811982320495
71.0,66.0,4200.0,NA,357.893,-357.893,-427.33651550525735,-19.824307277463046
