"Frame","Time (aligned)","Time [ smin]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
47.0,-1.0,2760.0,279.097,270.427,8.669999999999959,9.821962676868623,0.9238313980972085
48.0,0.0,2820.0,277.235,268.041,9.194000000000017,10.439998251809278,0.9819624140718354
49.0,1.0,2880.0,276.723,267.723,9.0,10.243518591608886,0.9634819855513655
50.0,2.0,2940.0,276.708,267.264,9.444000000000017,10.773762112194614,1.0133554812131178
51.0,3.0,3000.0,276.048,267.059,8.988999999999976,10.278307704587906,0.9667541701380226
52.0,4.0,3060.0,277.591,268.652,8.939000000000021,10.244532162521612,0.9635773197186984
53.0,5.0,3120.0,277.708,268.343,9.365000000000009,10.757171900466128,1.0117950437526952
54.0,6.0,3180.0,275.646,266.619,9.026999999999987,10.392382617084818,0.9774837961167518
55.0,7.0,3240.0,275.561,266.248,9.312999999999988,10.745754617098502,1.0107211601305526
56.0,8.0,3300.0,276.891,267.892,8.999000000000024,10.406663674540823,0.9788270397952235
57.0,9.0,3360.0,274.31,265.9,8.410000000000025,9.74714849389916,0.9167945467545588
58.0,10.0,3420.0,276.835,267.316,9.519000000000005,11.056855865763849,1.0399826337239264
59.0,11.0,3480.0,274.392,265.289,9.103000000000009,10.596881107505563,0.9967184575107612
60.0,12.0,3540.0,275.803,267.388,8.41500000000002,9.81737423719797,0.9233998199314712
61.0,13.0,3600.0,275.776,266.847,8.92900000000003,10.439658990687553,0.9819305039448358
62.0,14.0,3660.0,273.129,264.19,8.939000000000021,10.473920986377081,0.9851531090819944
63.0,15.0,3720.0,271.738,264.543,7.194999999999993,8.448559547574042,0.7946522335219465
64.0,16.0,3780.0,271.264,266.35,4.913999999999987,5.782467934546899,0.5438857397621318
65.0,17.0,3840.0,269.176,264.692,4.4839999999999804,5.287673553324558,0.4973465092627332
66.0,18.0,3900.0,269.231,265.74,3.4909999999999854,4.125386242216739,0.3880244168320471
67.0,19.0,3960.0,266.504,264.22,2.283999999999992,2.704714525235072,0.25439927675416135
68.0,20.0,4020.0,266.143,264.035,2.1079999999999472,2.5015050418400286,0.23528585641979435
69.0,21.0,4080.0,267.116,265.848,1.2679999999999723,1.5078230981367982,0.14182240013144523
70.0,22.0,4140.0,265.044,263.81,1.2339999999999804,1.4704207573343981,0.13830442129846054
