"Frame","Time (aligned)","Time [ smin]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
174.0,41.0,10380.0,NA,245.712,-245.712,-346.20055148570117,-36.51682146375528
175.0,42.0,10440.0,NA,245.499,-245.499,-346.3470249493186,-36.53227131008609
176.0,43.0,10500.0,NA,243.451,-243.451,-343.8997314708506,-36.274133711404886
177.0,44.0,10560.0,NA,243.37,-243.37,-344.2263157868365,-36.308581435732705
178.0,45.0,10620.0,NA,243.076,-243.076,-344.250113002048,-36.31109153762447
179.0,46.0,10680.0,NA,242.968,-242.968,-344.5357739514109,-36.34122271402579
180.0,47.0,10740.0,NA,242.855,-242.855,-344.81312901090433,-36.37047779506517
NA,NA,NA,NA,245.001,NA,NA,NA
NA,NA,NA,NA,243.082,NA,NA,NA
NA,NA,NA,NA,244.989,NA,NA,NA
NA,NA,NA,NA,245.038,NA,NA,NA
NA,NA,NA,NA,244.606,NA,NA,NA
NA,NA,NA,NA,242.586,NA,NA,NA
NA,NA,NA,NA,242.157,NA,NA,NA
NA,NA,NA,NA,244.155,NA,NA,NA
NA,NA,NA,NA,244.036,NA,NA,NA
NA,NA,NA,NA,241.864,NA,NA,NA
NA,NA,NA,NA,243.821,NA,NA,NA
NA,NA,NA,NA,243.732,NA,NA,NA
NA,NA,NA,NA,241.866,NA,NA,NA
NA,NA,NA,NA,243.733,NA,NA,NA
NA,NA,NA,NA,241.532,NA,NA,NA
NA,NA,NA,NA,241.599,NA,NA,NA
NA,NA,NA,NA,241.759,NA,NA,NA
NA,NA,NA,NA,241.456,NA,NA,NA
NA,NA,NA,NA,241.589,NA,NA,NA
NA,NA,NA,NA,243.234,NA,NA,NA
NA,NA,NA,NA,243.57,NA,NA,NA
NA,NA,NA,NA,243.287,NA,NA,NA
NA,NA,NA,NA,241.396,NA,NA,NA
NA,NA,NA,NA,241.236,NA,NA,NA
NA,NA,NA,NA,241.416,NA,NA,NA
NA,NA,NA,NA,241.28,NA,NA,NA
NA,NA,NA,NA,241.025,NA,NA,NA
NA,NA,NA,NA,241.368,NA,NA,NA
NA,NA,NA,NA,241.112,NA,NA,NA
NA,NA,NA,NA,241.43,NA,NA,NA
NA,NA,NA,NA,243.497,NA,NA,NA
NA,NA,NA,NA,241.263,NA,NA,NA
NA,NA,NA,NA,243.387,NA,NA,NA
NA,NA,NA,NA,241.477,NA,NA,NA
NA,NA,NA,NA,243.25,NA,NA,NA
NA,NA,NA,NA,241.066,NA,NA,NA
NA,NA,NA,NA,240.489,NA,NA,NA
NA,NA,NA,NA,241.107,NA,NA,NA
NA,NA,NA,NA,241.056,NA,NA,NA
NA,NA,NA,NA,240.531,NA,NA,NA
NA,NA,NA,NA,240.426,NA,NA,NA
NA,NA,NA,NA,242.682,NA,NA,NA
NA,NA,NA,NA,240.293,NA,NA,NA
NA,NA,NA,NA,240.641,NA,NA,NA
NA,NA,NA,NA,240.468,NA,NA,NA
NA,NA,NA,NA,240.935,NA,NA,NA
NA,NA,NA,NA,243.042,NA,NA,NA
NA,NA,NA,NA,240.735,NA,NA,NA
NA,NA,NA,NA,240.816,NA,NA,NA
NA,NA,NA,NA,241.305,NA,NA,NA
NA,NA,NA,NA,243.467,NA,NA,NA
NA,NA,NA,NA,243.215,NA,NA,NA
NA,NA,NA,NA,241.424,NA,NA,NA
NA,NA,NA,NA,240.871,NA,NA,NA
NA,NA,NA,NA,241.014,NA,NA,NA
NA,NA,NA,NA,242.377,NA,NA,NA
NA,NA,NA,NA,241.807,NA,NA,NA
NA,NA,NA,NA,239.916,NA,NA,NA
NA,NA,NA,NA,242.273,NA,NA,NA
NA,NA,NA,NA,241.3,NA,NA,NA
NA,NA,NA,NA,241.386,NA,NA,NA
NA,NA,NA,NA,241.114,NA,NA,NA
NA,NA,NA,NA,241.476,NA,NA,NA
NA,NA,NA,NA,241.502,NA,NA,NA
NA,NA,NA,NA,239.759,NA,NA,NA
NA,NA,NA,NA,240.034,NA,NA,NA
NA,NA,NA,NA,241.851,NA,NA,NA
NA,NA,NA,NA,241.739,NA,NA,NA
NA,NA,NA,NA,242.426,NA,NA,NA
NA,NA,NA,NA,242.397,NA,NA,NA
NA,NA,NA,NA,240.219,NA,NA,NA
NA,NA,NA,NA,241.521,NA,NA,NA
NA,NA,NA,NA,241.331,NA,NA,NA
NA,NA,NA,NA,239.513,NA,NA,NA
NA,NA,NA,NA,241.736,NA,NA,NA
NA,NA,NA,NA,241.405,NA,NA,NA
NA,NA,NA,NA,239.851,NA,NA,NA
NA,NA,NA,NA,239.646,NA,NA,NA
NA,NA,NA,NA,239.731,NA,NA,NA
NA,NA,NA,NA,239.617,NA,NA,NA
NA,NA,NA,NA,241.637,NA,NA,NA
NA,NA,NA,NA,241.727,NA,NA,NA
NA,NA,NA,NA,239.479,NA,NA,NA
NA,NA,NA,NA,241.496,NA,NA,NA
NA,NA,NA,NA,241.227,NA,NA,NA
