"Frame","Time (aligned)","Time [ smin]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
30.0,-36.0,1740.0,NA,385.25,-385.25,-418.4725781438745,-43.32045113301215
31.0,-35.0,1800.0,NA,382.672,-382.672,-416.75222200377186,-43.14235916715562
32.0,-34.0,1860.0,NA,381.307,-381.307,-416.3379512935037,-43.09947369509049
33.0,-33.0,1920.0,NA,380.313,-380.313,-416.318332999692,-43.09744280135272
34.0,-32.0,1980.0,NA,382.44,-382.44,-419.7145522741052,-43.44902079904801
35.0,-31.0,2040.0,NA,383.243,-383.243,-421.6620975204988,-43.65063147339599
36.0,-30.0,2100.0,NA,383.112,-383.112,-422.5800797195719,-43.745661363221295
37.0,-29.0,2160.0,NA,382.082,-382.082,-422.49944581772337,-43.73731410897542
38.0,-28.0,2220.0,NA,380.766,-380.766,-422.0923169646237,-43.695167964863
39.0,-27.0,2280.0,NA,378.762,-378.762,-420.90964637010325,-43.57273742491312
40.0,-26.0,2340.0,NA,377.638,-377.638,-420.69261011799716,-43.550269744007586
41.0,-25.0,2400.0,NA,376.629,-376.629,-420.59416521349084,-43.54007868753771
42.0,-24.0,2460.0,NA,377.294,-377.294,-422.36050850221386,-43.72293126168402
43.0,-23.0,2520.0,NA,377.027,-377.027,-423.08093405832005,-43.797510007647965
44.0,-22.0,2580.0,NA,374.6,-374.6,-421.36659301564214,-43.62004072711816
45.0,-21.0,2640.0,NA,376.14,-376.14,-424.1084767051971,-43.90388163949673
46.0,-20.0,2700.0,NA,375.499,-375.499,-424.3900099157228,-43.933026071714956
47.0,-19.0,2760.0,NA,374.683,-374.683,-424.4662562465033,-43.9409191228231
48.0,-18.0,2820.0,NA,372.249,-372.249,-422.6972927167441,-43.75779530026126
49.0,-17.0,2880.0,NA,372.678,-372.678,-424.17044685373514,-43.91029681442493
50.0,-16.0,2940.0,NA,372.571,-372.571,-425.0308475119073,-43.99936583976581
51.0,-15.0,3000.0,378.152,371.687,6.464999999999975,7.392286050746549,0.7652524522467345
52.0,-14.0,3060.0,376.945,370.934,6.010999999999967,6.888900640890135,0.7131417903116564
53.0,-13.0,3120.0,378.529,371.449,7.079999999999984,8.132490876166571,0.8418787561977746
54.0,-12.0,3180.0,375.59,368.853,6.736999999999966,7.7560077203168465,0.8029050671027084
55.0,-11.0,3240.0,376.468,369.314,7.153999999999996,8.254604158780493,0.8545199727755294
56.0,-10.0,3300.0,373.247,366.847,6.400000000000034,7.40111651484181,0.7661665854738563
57.0,-9.0,3360.0,374.308,368.039,6.2690000000000055,7.265740060434449,0.7521523599689816
58.0,-8.0,3420.0,373.97,367.532,6.438000000000045,7.478100437418648,0.7741359923841244
59.0,-7.0,3480.0,372.241,364.744,7.496999999999957,8.727322603863417,0.9034559780705946
60.0,-6.0,3540.0,375.249,366.941,8.30800000000005,9.692542502987644,1.0033759337773365
61.0,-5.0,3600.0,373.055,365.836,7.218999999999994,8.440351467552148,0.8737486095679847
62.0,-4.0,3660.0,375.483,367.895,7.588000000000022,8.890939975906626,0.9203937148311448
63.0,-3.0,3720.0,375.435,367.653,7.781999999999982,9.13783049328994,0.9459519213949946
64.0,-2.0,3780.0,375.472,366.868,8.603999999999985,10.124614185763443,1.048104169741252
65.0,-1.0,3840.0,374.411,366.503,7.9080000000000155,9.325361833115716,0.9653652418062493
66.0,0.0,3900.0,373.828,365.893,7.935000000000002,9.376952114577476,0.9707058886818831
67.0,1.0,3960.0,373.793,365.441,8.352000000000032,9.890444708740581,1.023862850438547
68.0,2.0,4020.0,373.645,365.503,8.141999999999996,9.6618852232742,1.0002022797386705
69.0,3.0,4080.0,371.931,363.612,8.31899999999996,9.892413527918169,1.0240666633988864
70.0,4.0,4140.0,373.68,365.312,8.367999999999995,9.971216286365017,1.0322243569366207
